Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9992348890589136,0.8898305084745762,0.6363636363636364,0.7420494699646644,21500.719999999998,0.03836009659013928
CI-DecisionTree,0.9990776744819779,0.7452229299363057,0.7090909090909091,0.7267080745341615,22006.68,0.015730560205810984
CI-RandomForest,0.9994759514102147,0.9457364341085271,0.7393939393939394,0.8299319727891156,19675.89,0.11997733289382662
CI-XGBoost,0.9995283562691932,0.9347826086956522,0.7818181818181819,0.8514851485148516,19234.329999999998,0.1397265187699116
CST-CostSensitiveLogisticRegression,0.5446227374202136,0.003464494665595962,0.9151515151515152,0.006902857142857143,4360924.4799999995,-194.04644475742657
CST-CostSensitiveDecisionTreeClassifier,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,9541100.0,-425.7346620217287
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,9541100.0,-425.7346620217287
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,22358.390000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,9541100.0,-425.7346620217287
CI-LogisticRegression-TO,0.9989938267076123,0.8791208791208791,0.48484848484848486,0.625,24420.82,-0.09224411954528011
CI-DecisionTree-TO,0.9990776744819779,0.7452229299363057,0.7090909090909091,0.7267080745341615,22006.68,0.015730560205810984
CI-RandomForest-TO,0.9989519028204296,0.9850746268656716,0.4,0.5689655172413793,22602.1,-0.010900158732359388
CI-XGBoost-TO,0.9989519028204296,1.0,0.3939393939393939,0.5652173913043478,21714.029999999995,0.02881960642067738
CI-LogisticRegression-BMR,0.9985012210332141,0.8055555555555556,0.17575757575757575,0.2885572139303483,11044.150000000001,0.5060400145090949
CI-DecisionTree-BMR,0.9984173732588486,0.71875,0.1393939393939394,0.233502538071066,11904.369999999999,0.4675658667730549
CI-RandomForest-BMR,0.9985221829768056,0.8157894736842105,0.18787878787878787,0.3054187192118226,10388.860000000002,0.5353484754492608
CI-XGBoost-BMR,0.9985012210332141,0.7391304347826086,0.20606060606060606,0.3222748815165877,9762.110000000002,0.5633804580741278
